p,ord_p_3,ord_p_5,ord_p2_3,ord_p2_5,weight_1_over_max,maxfiber,alpha_exact
4523,2261,4522,10226503,20453006,1/4522,2261,1/4522
9059,647,4529,5861173,41028211,1/4529,352,352/2930263
4547,2273,4546,10335331,20670662,1/4546,2273,1/4546
4567,4566,4566,20852922,20852922,1/4566,4566,1/4566
4583,2291,4582,10499653,20999306,1/4582,2291,1/4582
13759,4586,2293,63098774,31549387,1/4586,2293,1/4586
4603,4602,4602,21183006,21183006,1/4602,4602,1/4602
9239,4619,4619,42674941,42674941,1/4619,2310,2310/21335161
4639,4638,773,21515682,3585947,1/4638,773,1/4638
4643,2321,4642,10776403,21552806,1/4642,2321,1/4642
4651,4650,2325,21627150,10813575,1/4650,2325,1/4650
9311,4655,133,43342705,1238363,1/4655,84,12/88445
358667,2329,4658,835335443,1670670886,1/4658,2329,1/4658
4663,4662,518,21738906,2415434,1/4662,518,1/4662
51283,2442,4662,125233086,239081346,1/4662,269,269/11384604
214499,4663,4663,1000208837,1000208837,1/4663,144,144/21743569
14011,4670,2335,65431370,32715685,1/4670,2335,1/4670
9371,4685,4685,43903135,43903135,1/4685,2343,2343/21949225
4703,2351,4702,11056753,22113506,1/4702,2351,1/4702
9419,4709,4709,44354071,44354071,1/4709,2355,2355/22174681
9431,4715,4715,44467165,44467165,1/4715,2358,2358/22231225
4723,4722,1574,22302006,7434002,1/4722,1574,1/4722
47351,4735,4735,224206985,224206985,1/4735,518,518/22420225
9479,4739,4739,44920981,44920981,1/4739,2370,2370/22458121
9491,4745,949,45034795,9006959,1/4745,503,503/4503005
4759,4758,2379,22643322,11321661,1/4758,2379,1/4758
9539,4769,4769,45491491,45491491,1/4769,2385,2385/22743361
9551,4775,4775,45606025,45606025,1/4775,2388,2388/22800625
4787,2393,4786,11455291,22910582,1/4786,2393,1/4786
14407,4802,4802,69182414,69182414,1/4802,4802,1/4802
9619,3206,4809,30838514,46257771,1/4809,1632,272/2569609
221951,4825,4825,1070913575,1070913575,1/4825,132,132/23280625
4831,4830,2415,23333730,11666865,1/4830,2415,1/4830
183959,4841,4841,890545519,890545519,1/4841,184,184/23435281
9719,4859,4859,47224621,47224621,1/4859,2430,2430/23609881
29179,3242,4863,94598318,141897477,1/4863,1621,1/9726
9791,4895,4895,47926945,47926945,1/4895,2448,2448/23961025
4903,4902,4902,24034506,24034506,1/4902,4902,1/4902
14731,4910,1473,72329210,21698763,1/4910,531,177/2410810
9839,4919,4919,48398041,48398041,1/4919,2460,2460/24196561
9859,3286,4929,32396674,48595011,1/4929,1675,1675/16196694
9923,4961,902,49228003,8950546,1/4961,485,485/4474822
9931,3310,4965,32871610,49307415,1/4965,1684,842/8217075
4967,2483,4966,12333061,24666122,1/4966,2483,1/4966
29851,1194,4975,35642094,148508725,1/4975,229,229/5940150
4987,4986,4986,24865182,24865182,1/4986,4986,1/4986
4999,4998,119,24985002,594881,1/4998,119,1/4998
