pair_index,c,d,shift,target_survival_count,target_survival_frequency,h_-720_persistent_covered,h_-720_survival_count,h_-720_survival_frequency,h_-360_persistent_covered,h_-360_survival_count,h_-360_survival_frequency,h_0_persistent_covered,h_0_survival_count,h_0_survival_frequency,h_360_persistent_covered,h_360_survival_count,h_360_survival_frequency,h_720_persistent_covered,h_720_survival_count,h_720_survival_frequency,mean_control_frequency_numerator,mean_control_frequency_denominator,mean_control_frequency_decimal,target_minus_mean_control_frequency_numerator,target_minus_mean_control_frequency_denominator,target_minus_mean_control_frequency_decimal,rank_target_survival_frequency,rank_target_excess_above_control_mean,rank_target_deficit_below_control_mean
42,2,8,390634,0,0,0,60,0.233463035019455252918287937743,0,58,0.225680933852140077821011673152,1,0,0,0,66,0.256809338521400778210116731518,1,0,0,184,1028,0.178988326848249027237354085603,-46,257,-0.178988326848249027237354085603,214,346,61
43,2,9,1953134,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,215,175,119
44,2,10,9765634,68,0.264591439688715953307392996109,0,63,0.245136186770428015564202334630,0,65,0.252918287937743190661478599222,0,68,0.264591439688715953307392996109,0,62,0.241245136186770428015564202335,0,70,0.272373540856031128404669260700,260,1028,0.252918287937743190661478599222,3,257,0.0116731517509727626459143968872,48,149,258
45,2,11,48828134,45,0.175097276264591439688715953307,1,0,0,0,49,0.190661478599221789883268482490,0,45,0.175097276264591439688715953307,0,50,0.194552529182879377431906614786,0,48,0.186770428015564202334630350195,147,1028,0.142996108949416342412451361868,33,1028,0.0321011673151750972762645914397,184,134,274
46,2,12,244140634,59,0.229571984435797665369649805447,0,60,0.233463035019455252918287937743,1,0,0,0,59,0.229571984435797665369649805447,0,72,0.280155642023346303501945525292,0,57,0.221789883268482490272373540856,189,1028,0.183852140077821011673151750973,47,1028,0.0457198443579766536964980544747,139,114,290
47,2,13,1220703134,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,216,176,120
48,2,14,6103515634,0,0,0,66,0.256809338521400778210116731518,0,76,0.295719844357976653696498054475,1,0,0,0,71,0.276264591439688715953307392996,0,59,0.229571984435797665369649805447,272,1028,0.264591439688715953307392996109,-68,257,-0.264591439688715953307392996109,217,402,6
49,2,15,30517578134,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,218,177,121
50,2,16,152587890634,62,0.241245136186770428015564202335,1,0,0,0,69,0.268482490272373540856031128405,0,62,0.241245136186770428015564202335,0,74,0.287937743190661478599221789883,0,61,0.237354085603112840466926070039,204,1028,0.198443579766536964980544747082,11,257,0.0428015564202334630350194552529,109,121,286
51,3,0,28,58,0.225680933852140077821011673152,1,0,0,0,63,0.245136186770428015564202334630,0,58,0.225680933852140077821011673152,0,67,0.260700389105058365758754863813,1,0,0,130,1028,0.126459143968871595330739299611,51,514,0.0992217898832684824902723735409,147,35,374
52,3,1,32,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,219,178,122
53,3,2,52,0,0,0,70,0.272373540856031128404669260700,1,0,0,1,0,0,0,67,0.260700389105058365758754863813,0,60,0.233463035019455252918287937743,197,1028,0.191634241245136186770428015564,-197,1028,-0.191634241245136186770428015564,220,362,46
54,3,3,152,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,221,179,123
55,3,4,652,59,0.229571984435797665369649805447,1,0,0,0,72,0.280155642023346303501945525292,0,59,0.229571984435797665369649805447,0,70,0.272373540856031128404669260700,0,57,0.221789883268482490272373540856,199,1028,0.193579766536964980544747081712,37,1028,0.0359922178988326848249027237354,140,130,278
56,3,5,3152,56,0.217898832684824902723735408560,0,55,0.214007782101167315175097276265,0,51,0.198443579766536964980544747082,0,56,0.217898832684824902723735408560,1,0,0,0,57,0.221789883268482490272373540856,163,1028,0.158560311284046692607003891051,61,1028,0.0593385214007782101167315175097,157,91,314
57,3,6,15652,61,0.237354085603112840466926070039,1,0,0,0,71,0.276264591439688715953307392996,0,61,0.237354085603112840466926070039,0,67,0.260700389105058365758754863813,0,70,0.272373540856031128404669260700,208,1028,0.202334630350194552529182879377,9,257,0.0350194552529182879377431906615,122,131,276
58,3,7,78152,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,222,180,124
