h,pair_index,c,d,shift,survival_count,survival_frequency_numerator,survival_frequency_denominator,survival_frequency_decimal,first_winning_k,last_winning_k,longest_consecutive_winning_run,never_wins,wins_every_k,leave_anchor_out_survival_count,leave_anchor_out_frequency_numerator,leave_anchor_out_frequency_denominator,leave_anchor_out_frequency_decimal
-720,249,14,11,53611094,56,56,257,0.217898832684824902723735408560,-128,121,2,0,0,,,,
-720,250,14,12,248923594,70,70,257,0.272373540856031128404669260700,-127,122,3,0,0,,,,
-720,252,14,14,6108298594,63,63,257,0.245136186770428015564202334630,-128,128,3,0,0,,,,
-720,254,14,16,152592673594,65,65,257,0.252918287937743190661478599222,-127,128,3,0,0,,,,
-720,259,15,4,14349532,55,55,257,0.214007782101167315175097276265,-124,127,2,0,0,,,,
-720,260,15,5,14352032,54,54,257,0.210116731517509727626459143969,-121,128,3,0,0,,,,
-720,263,15,8,14739532,73,73,257,0.284046692607003891050583657588,-125,127,3,0,0,,,,
-720,265,15,10,24114532,71,71,257,0.276264591439688715953307392996,-126,127,3,0,0,,,,
-720,266,15,11,63177032,56,56,257,0.217898832684824902723735408560,-128,120,2,0,0,,,,
-720,269,15,14,6117864532,70,70,257,0.272373540856031128404669260700,-125,126,3,0,0,,,,
-720,271,15,16,152602239532,75,75,257,0.291828793774319066147859922179,-125,124,3,0,0,,,,
-720,274,16,2,43046746,66,66,257,0.256809338521400778210116731518,-127,117,3,0,0,,,,
-720,276,16,4,43047346,71,71,257,0.276264591439688715953307392996,-127,125,3,0,0,,,,
-720,278,16,6,43062346,68,68,257,0.264591439688715953307392996109,-128,122,3,0,0,,,,
-720,280,16,8,43437346,66,66,257,0.256809338521400778210116731518,-128,128,3,0,0,,,,
-720,282,16,10,52812346,69,69,257,0.268482490272373540856031128405,-128,122,3,0,0,,,,
-720,284,16,12,287187346,68,68,257,0.264591439688715953307392996109,-126,114,3,0,0,,,,
-720,286,16,14,6146562346,72,72,257,0.280155642023346303501945525292,-124,125,3,0,0,,,,
-720,288,16,16,152630937346,62,62,257,0.241245136186770428015564202335,-127,128,3,0,0,,,,
-720,289,17,0,129140164,53,53,257,0.206225680933852140077821011673,-118,127,3,0,0,,,,
-720,291,17,2,129140188,64,64,257,0.249027237354085603112840466926,-125,123,3,0,0,,,,
-720,294,17,5,129143288,56,56,257,0.217898832684824902723735408560,-126,127,3,0,0,,,,
-720,297,17,8,129530788,70,70,257,0.272373540856031128404669260700,-126,124,3,0,0,,,,
-720,301,17,12,373280788,64,64,257,0.249027237354085603112840466926,-125,126,3,0,0,,,,
-720,303,17,14,6232655788,61,61,257,0.237354085603112840466926070039,-125,127,3,0,0,,,,
-720,306,18,0,387420490,61,61,257,0.237354085603112840466926070039,-128,113,3,0,0,,,,
-720,308,18,2,387420514,75,75,257,0.291828793774319066147859922179,-119,128,3,0,0,,,,
-720,311,18,5,387423614,53,53,257,0.206225680933852140077821011673,-124,126,3,0,0,,,,
-720,312,18,6,387436114,67,67,257,0.260700389105058365758754863813,-126,125,3,0,0,,,,
-720,314,18,8,387811114,71,71,257,0.276264591439688715953307392996,-127,121,3,0,0,,,,
-720,316,18,10,397186114,72,72,257,0.280155642023346303501945525292,-128,128,3,0,0,,,,
-720,317,18,11,436248614,60,60,257,0.233463035019455252918287937743,-128,118,2,0,0,,,,
-720,318,18,12,631561114,66,66,257,0.256809338521400778210116731518,-126,125,3,0,0,,,,
-720,322,18,16,152975311114,66,66,257,0.256809338521400778210116731518,-127,128,3,0,0,,,,
-720,323,19,0,1162261468,67,67,257,0.260700389105058365758754863813,-125,124,3,0,0,,,,
-720,327,19,4,1162262092,66,66,257,0.256809338521400778210116731518,-126,127,3,0,0,,,,
-720,328,19,5,1162264592,52,52,257,0.202334630350194552529182879377,-121,128,2,0,0,,,,
-720,333,19,10,1172027092,67,67,257,0.260700389105058365758754863813,-124,124,3,0,0,,,,
