point_ordinal,mask_index,class_index,point_index,n,T,mask_sha256
115,115,31,1,199297673794,55,5503c26b6b48a41ac70b24a7cc3d67d9ffa437404ea9fb0192a068a5d6f53722
116,116,32,1,199547660234,27,e52016fb51d224127d1ee3205dd5c3b368f60b79d5a8fb8e72c2c27ff9108fb2
117,117,33,1,199764753194,33,8280ea147c62dbdc62f4a17b196246b13f3d9e166380512c34c2e0cc05390433
118,118,34,1,199780170554,34,5c5de3aa99ccf0fe1514716d1509dd91a1c6466433c8b521acbbffce86b8c46b
119,119,35,1,199788594994,56,20bd6e77b688d21340659f729cda16a6cbc4629f684c92c8bfb47c0587ec1c0d
120,120,36,1,199864966034,36,3076265b8433a2771ce1d65dda84454b7cc03478435d3c89a1e9e1b181b4a7f7
121,121,37,1,200015363954,29,f9f6199cbd4c2a94060151ae8bce5648dd2bee50daf68215d11b4f904ca62bd0
122,122,38,1,200019139634,30,52840422bfc0b67fa05e3bd0f4f4d849cee955763f5e708b13559dc640d6d0f3
123,123,39,1,200060896034,28,5f68631f156704fd414e464740e14915fbb120917e8349fbdb346c0317b303b7
124,124,40,1,200119352474,28,a5b82b6ac105bc3854f679ec23d43105ec9788f85ee0d0f0c1769df457ebc60b
125,125,41,1,200188730594,23,fed6022b812af07b4632fdd65986c5928341f857aaae5b0dec02de1315e101d6
126,126,42,1,200377700434,56,a23ff0680ea1eb952d38de33e83fca37ca8ed56d39d1b9b1549b9659ce00a483
127,127,43,1,200439341354,32,d022908df1251a31c1f87d54145c25643d61b4f417282b055eeb3384312922a6
128,128,44,1,200543329874,37,080ad9a8640fb6be40ab7fa48e829a69daade518e23404aea2619ceb09803725
129,129,45,1,200574068914,60,c245c8170cb3e8f78e6ea58d95e294eb3a81daec61cd4a2e6814406d8db32dca
130,130,46,1,200612707994,24,7665a50772aae5cfb0c815ba180a95428c85b2d331ce85bd0294ad376bbb1e39
131,131,47,1,200628125354,33,f632c0dbba92f900bf096495e4504be83a0485d7e020960415398f45e8d4b884
132,132,48,1,200697503474,28,783fd3fd1339aa6540324c70232a449361d44d96b0aa445455f1cc9c566b5162
133,133,49,1,200778523274,34,ab95b51407d1a12fbd0762f08a18d2f66abd873e53e30b86bc83b864437d1de9
134,134,50,1,200951889914,26,bd8cdc1386dabcc7aa7708bb100db8969767419c4a76d7c49365404a88a8645c
135,135,51,1,201052102754,36,8e4cc498321226726af54af3b23d3410b0cd0968fa1ad8c478982a65a9412d75
