pair_index,c,d,shift,odd_winner_numerator,odd_denominator,even_winner_numerator,even_denominator,pool_winner_numerator,pool_denominator,odd_class_prevalence,even_class_prevalence,pool_class_prevalence
153,9,0,19684,0,2334,0,2337,0,4671,0,0,0
154,9,1,19688,0,2334,0,2337,0,4671,0,0,0
155,9,2,19708,0,2334,0,2337,0,4671,0,0,0
156,9,3,19808,0,2334,0,2337,0,4671,0,0,0
157,9,4,20308,0,2334,0,2337,0,4671,0,0,0
158,9,5,22808,962,2334,921,2337,1883,4671,42,42,84
159,9,6,35308,0,2334,0,2337,0,4671,0,0,0
160,9,7,97808,0,2334,0,2337,0,4671,0,0,0
161,9,8,410308,0,2334,0,2337,0,4671,0,0,0
162,9,9,1972808,0,2334,0,2337,0,4671,0,0,0
163,9,10,9785308,0,2334,0,2337,0,4671,0,0,0
164,9,11,48847808,0,2334,0,2337,0,4671,0,0,0
165,9,12,244160308,0,2334,0,2337,0,4671,0,0,0
166,9,13,1220722808,0,2334,0,2337,0,4671,0,0,0
167,9,14,6103535308,0,2334,0,2337,0,4671,0,0,0
168,9,15,30517597808,0,2334,0,2337,0,4671,0,0,0
169,9,16,152587910308,0,2334,0,2337,0,4671,0,0,0
170,10,0,59050,615,2334,609,2337,1224,4671,42,42,84
171,10,1,59054,0,2334,0,2337,0,4671,0,0,0
172,10,2,59074,652,2334,642,2337,1294,4671,42,42,84
173,10,3,59174,0,2334,0,2337,0,4671,0,0,0
174,10,4,59674,658,2334,666,2337,1324,4671,42,42,84
175,10,5,62174,0,2334,0,2337,0,4671,0,0,0
176,10,6,74674,0,2334,0,2337,0,4671,0,0,0
177,10,7,137174,0,2334,0,2337,0,4671,0,0,0
178,10,8,449674,655,2334,637,2337,1292,4671,42,42,84
179,10,9,2012174,0,2334,0,2337,0,4671,0,0,0
180,10,10,9824674,0,2334,0,2337,0,4671,0,0,0
181,10,11,48887174,0,2334,0,2337,0,4671,0,0,0
182,10,12,244199674,647,2334,640,2337,1287,4671,42,42,84
183,10,13,1220762174,0,2334,0,2337,0,4671,0,0,0
184,10,14,6103574674,662,2334,659,2337,1321,4671,42,42,84
185,10,15,30517637174,0,2334,0,2337,0,4671,0,0,0
186,10,16,152587949674,0,2334,0,2337,0,4671,0,0,0
187,11,0,177148,0,2334,0,2337,0,4671,0,0,0
188,11,1,177152,0,2334,0,2337,0,4671,0,0,0
189,11,2,177172,0,2334,0,2337,0,4671,0,0,0
190,11,3,177272,0,2334,0,2337,0,4671,0,0,0
191,11,4,177772,0,2334,0,2337,0,4671,0,0,0
192,11,5,180272,977,2334,937,2337,1914,4671,42,42,84
193,11,6,192772,0,2334,0,2337,0,4671,0,0,0
194,11,7,255272,0,2334,0,2337,0,4671,0,0,0
195,11,8,567772,0,2334,0,2337,0,4671,0,0,0
196,11,9,2130272,0,2334,0,2337,0,4671,0,0,0
197,11,10,9942772,0,2334,0,2337,0,4671,0,0,0
198,11,11,49005272,944,2334,928,2337,1872,4671,42,42,84
199,11,12,244317772,0,2334,0,2337,0,4671,0,0,0
200,11,13,1220880272,0,2334,0,2337,0,4671,0,0,0
201,11,14,6103692772,0,2334,0,2337,0,4671,0,0,0
202,11,15,30517755272,0,2334,0,2337,0,4671,0,0,0
203,11,16,152588067772,0,2334,0,2337,0,4671,0,0,0
204,12,0,531442,610,2334,634,2337,1244,4671,42,42,84
205,12,1,531446,0,2334,0,2337,0,4671,0,0,0
206,12,2,531466,623,2334,610,2337,1233,4671,42,42,84
207,12,3,531566,0,2334,0,2337,0,4671,0,0,0
208,12,4,532066,612,2334,622,2337,1234,4671,42,42,84
209,12,5,534566,478,2334,468,2337,946,4671,42,42,84
210,12,6,547066,625,2334,641,2337,1266,4671,42,42,84
211,12,7,609566,0,2334,0,2337,0,4671,0,0,0
212,12,8,922066,613,2334,614,2337,1227,4671,42,42,84
213,12,9,2484566,0,2334,0,2337,0,4671,0,0,0
214,12,10,10297066,627,2334,611,2337,1238,4671,42,42,84
215,12,11,49359566,472,2334,468,2337,940,4671,42,42,84
216,12,12,244672066,608,2334,640,2337,1248,4671,42,42,84
217,12,13,1221234566,0,2334,0,2337,0,4671,0,0,0
218,12,14,6104047066,599,2334,646,2337,1245,4671,42,42,84
219,12,15,30518109566,0,2334,0,2337,0,4671,0,0,0
220,12,16,152588422066,682,2334,643,2337,1325,4671,42,42,84
221,13,0,1594324,0,2334,0,2337,0,4671,0,0,0
222,13,1,1594328,0,2334,0,2337,0,4671,0,0,0
223,13,2,1594348,0,2334,0,2337,0,4671,0,0,0
224,13,3,1594448,0,2334,0,2337,0,4671,0,0,0
225,13,4,1594948,0,2334,0,2337,0,4671,0,0,0
226,13,5,1597448,0,2334,0,2337,0,4671,0,0,0
227,13,6,1609948,0,2334,0,2337,0,4671,0,0,0
228,13,7,1672448,0,2334,0,2337,0,4671,0,0,0
229,13,8,1984948,0,2334,0,2337,0,4671,0,0,0
230,13,9,3547448,0,2334,0,2337,0,4671,0,0,0
231,13,10,11359948,0,2334,0,2337,0,4671,0,0,0
232,13,11,50422448,911,2334,942,2337,1853,4671,42,42,84
233,13,12,245734948,0,2334,0,2337,0,4671,0,0,0
234,13,13,1222297448,0,2334,0,2337,0,4671,0,0,0
235,13,14,6105109948,0,2334,0,2337,0,4671,0,0,0
236,13,15,30519172448,0,2334,0,2337,0,4671,0,0,0
237,13,16,152589484948,0,2334,0,2337,0,4671,0,0,0
238,14,0,4782970,644,2334,646,2337,1290,4671,42,42,84
239,14,1,4782974,0,2334,0,2337,0,4671,0,0,0
240,14,2,4782994,632,2334,661,2337,1293,4671,42,42,84
241,14,3,4783094,0,2334,0,2337,0,4671,0,0,0
242,14,4,4783594,642,2334,662,2337,1304,4671,42,42,84
243,14,5,4786094,489,2334,501,2337,990,4671,42,42,84
244,14,6,4798594,649,2334,665,2337,1314,4671,42,42,84
245,14,7,4861094,0,2334,0,2337,0,4671,0,0,0
246,14,8,5173594,649,2334,667,2337,1316,4671,42,42,84
247,14,9,6736094,0,2334,0,2337,0,4671,0,0,0
248,14,10,14548594,646,2334,660,2337,1306,4671,42,42,84
249,14,11,53611094,493,2334,499,2337,992,4671,42,42,84
250,14,12,248923594,652,2334,631,2337,1283,4671,42,42,84
251,14,13,1225486094,0,2334,0,2337,0,4671,0,0,0
252,14,14,6108298594,0,2334,0,2337,0,4671,0,0,0
253,14,15,30522361094,0,2334,0,2337,0,4671,0,0,0
254,14,16,152592673594,652,2334,703,2337,1355,4671,42,42,84
255,15,0,14348908,0,2334,0,2337,0,4671,0,0,0
256,15,1,14348912,0,2334,0,2337,0,4671,0,0,0
257,15,2,14348932,0,2334,0,2337,0,4671,0,0,0
258,15,3,14349032,0,2334,0,2337,0,4671,0,0,0
259,15,4,14349532,0,2334,0,2337,0,4671,0,0,0
260,15,5,14352032,947,2334,934,2337,1881,4671,42,42,84
261,15,6,14364532,0,2334,0,2337,0,4671,0,0,0
262,15,7,14427032,0,2334,0,2337,0,4671,0,0,0
263,15,8,14739532,0,2334,0,2337,0,4671,0,0,0
264,15,9,16302032,0,2334,0,2337,0,4671,0,0,0
265,15,10,24114532,0,2334,0,2337,0,4671,0,0,0
266,15,11,63177032,0,2334,0,2337,0,4671,0,0,0
267,15,12,258489532,0,2334,0,2337,0,4671,0,0,0
268,15,13,1235052032,0,2334,0,2337,0,4671,0,0,0
269,15,14,6117864532,0,2334,0,2337,0,4671,0,0,0
270,15,15,30531927032,0,2334,0,2337,0,4671,0,0,0
271,15,16,152602239532,0,2334,0,2337,0,4671,0,0,0
272,16,0,43046722,630,2334,610,2337,1240,4671,42,42,84
273,16,1,43046726,0,2334,0,2337,0,4671,0,0,0
274,16,2,43046746,0,2334,0,2337,0,4671,0,0,0
275,16,3,43046846,0,2334,0,2337,0,4671,0,0,0
276,16,4,43047346,0,2334,0,2337,0,4671,0,0,0
277,16,5,43049846,0,2334,0,2337,0,4671,0,0,0
278,16,6,43062346,616,2334,613,2337,1229,4671,42,42,84
279,16,7,43124846,0,2334,0,2337,0,4671,0,0,0
280,16,8,43437346,615,2334,613,2337,1228,4671,42,42,84
281,16,9,44999846,0,2334,0,2337,0,4671,0,0,0
282,16,10,52812346,640,2334,616,2337,1256,4671,42,42,84
283,16,11,91874846,0,2334,0,2337,0,4671,0,0,0
284,16,12,287187346,0,2334,0,2337,0,4671,0,0,0
285,16,13,1263749846,0,2334,0,2337,0,4671,0,0,0
286,16,14,6146562346,625,2334,632,2337,1257,4671,42,42,84
287,16,15,30560624846,0,2334,0,2337,0,4671,0,0,0
288,16,16,152630937346,650,2334,626,2337,1276,4671,42,42,84
289,17,0,129140164,0,2334,0,2337,0,4671,0,0,0
290,17,1,129140168,0,2334,0,2337,0,4671,0,0,0
291,17,2,129140188,0,2334,0,2337,0,4671,0,0,0
292,17,3,129140288,0,2334,0,2337,0,4671,0,0,0
293,17,4,129140788,0,2334,0,2337,0,4671,0,0,0
294,17,5,129143288,940,2334,932,2337,1872,4671,42,42,84
295,17,6,129155788,0,2334,0,2337,0,4671,0,0,0
296,17,7,129218288,0,2334,0,2337,0,4671,0,0,0
297,17,8,129530788,0,2334,0,2337,0,4671,0,0,0
298,17,9,131093288,0,2334,0,2337,0,4671,0,0,0
299,17,10,138905788,0,2334,0,2337,0,4671,0,0,0
300,17,11,177968288,916,2334,938,2337,1854,4671,42,42,84
301,17,12,373280788,0,2334,0,2337,0,4671,0,0,0
302,17,13,1349843288,0,2334,0,2337,0,4671,0,0,0
303,17,14,6232655788,0,2334,0,2337,0,4671,0,0,0
304,17,15,30646718288,0,2334,0,2337,0,4671,0,0,0
305,17,16,152717030788,0,2334,0,2337,0,4671,0,0,0
306,18,0,387420490,0,2334,0,2337,0,4671,0,0,0
307,18,1,387420494,0,2334,0,2337,0,4671,0,0,0
308,18,2,387420514,660,2334,646,2337,1306,4671,42,42,84
309,18,3,387420614,0,2334,0,2337,0,4671,0,0,0
310,18,4,387421114,660,2334,655,2337,1315,4671,42,42,84
311,18,5,387423614,0,2334,0,2337,0,4671,0,0,0
312,18,6,387436114,626,2334,659,2337,1285,4671,42,42,84
313,18,7,387498614,0,2334,0,2337,0,4671,0,0,0
314,18,8,387811114,630,2334,645,2337,1275,4671,42,42,84
315,18,9,389373614,0,2334,0,2337,0,4671,0,0,0
316,18,10,397186114,0,2334,0,2337,0,4671,0,0,0
317,18,11,436248614,497,2334,477,2337,974,4671,42,42,84
318,18,12,631561114,663,2334,656,2337,1319,4671,42,42,84
319,18,13,1608123614,0,2334,0,2337,0,4671,0,0,0
320,18,14,6490936114,661,2334,660,2337,1321,4671,42,42,84
321,18,15,30904998614,0,2334,0,2337,0,4671,0,0,0
322,18,16,152975311114,650,2334,684,2337,1334,4671,42,42,84
323,19,0,1162261468,0,2334,0,2337,0,4671,0,0,0
324,19,1,1162261472,0,2334,0,2337,0,4671,0,0,0
325,19,2,1162261492,0,2334,0,2337,0,4671,0,0,0
326,19,3,1162261592,0,2334,0,2337,0,4671,0,0,0
327,19,4,1162262092,0,2334,0,2337,0,4671,0,0,0
328,19,5,1162264592,938,2334,940,2337,1878,4671,42,42,84
329,19,6,1162277092,0,2334,0,2337,0,4671,0,0,0
330,19,7,1162339592,0,2334,0,2337,0,4671,0,0,0
331,19,8,1162652092,0,2334,0,2337,0,4671,0,0,0
332,19,9,1164214592,0,2334,0,2337,0,4671,0,0,0
333,19,10,1172027092,0,2334,0,2337,0,4671,0,0,0
334,19,11,1211089592,948,2334,944,2337,1892,4671,42,42,84
335,19,12,1406402092,0,2334,0,2337,0,4671,0,0,0
336,19,13,2382964592,0,2334,0,2337,0,4671,0,0,0
337,19,14,7265777092,0,2334,0,2337,0,4671,0,0,0
338,19,15,31679839592,0,2334,0,2337,0,4671,0,0,0
339,19,16,153750152092,0,2334,0,2337,0,4671,0,0,0
340,20,0,3486784402,639,2334,619,2337,1258,4671,42,42,84
341,20,1,3486784406,0,2334,0,2337,0,4671,0,0,0
342,20,2,3486784426,630,2334,598,2337,1228,4671,42,42,84
343,20,3,3486784526,0,2334,0,2337,0,4671,0,0,0
344,20,4,3486785026,634,2334,635,2337,1269,4671,42,42,84
345,20,5,3486787526,484,2334,479,2337,963,4671,42,42,84
