label,ordering,step,checkpoint,selected_prime,newly_covered_pairs,newly_covered_pair_set,selected_primes,cumulative_covered_active_pairs,active_pair_count,cumulative_covered_current_losers,current_losing_pair_count,uncovered_current_losers,uncovered_original_winners,product_M,M_bit_length,M_decimal_digit_count
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,22,NO,127,1,23:4,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127,276,407,276,391,115,16,31747394584540381687671996017584659151356527195967562005112906091238364098072138681,275,83
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,23,NO,139,1,1:9,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139,277,407,277,391,114,16,613391410767904714587510635055753199463359461953289265500786458588816432738851791455601,289,87
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,24,NO,151,1,18:16,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151,278,407,278,391,113,16,13985937556918995397309829989906228700964059091996948542683432042283603482878559696979158401,303,92
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,25,NO,211,1,17:2,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211,279,407,279,391,112,16,622667925971590594083630940980615207995620874834796146068809077954508310661236356269209111170921,319,96
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,26,NO,223,1,15:6,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211;223,280,407,280,391,111,16,30964653290641228653184883064025013678414230484659577547855806637599743780872622760911499889418730409,334,101
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,27,NO,239,1,17:8,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211;223;239,281,407,281,391,110,16,1768731960614717621898573705500172806324699259514239729111071530946334964507225084726025785183487299692489,350,106
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,28,NO,263,1,10:8,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263,282,407,282,391,109,16,122341420983759403189102444635741452840673123081340447822883706724027043160000251885414477535356633032429771641,366,111
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,29,NO,311,1,15:12,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263;311,283,407,283,391,108,16,11832984578970193235853177547613549060202745137550329453877134998054619641478384362609173681697228903529639942889161,383,116
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,30,NO,347,1,7:16,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263;311;347,284,407,284,391,107,16,1424797840169221997335845255330599828789952339267297619211891947980758696410770782717407993839481635045100415883340986849,400,121
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,31,NO,359,1,0:9,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263;311;347;359,285,407,285,391,106,16,183629370438849500238641072352263036534277847437108584461647846147708161552116549247402259654026232606247586699460869726085969,417,126
HEURISTIC_P2_PERSISTENT_CORE,COVERAGE_PER_MODULUS_BIT_GREEDY,32,YES,379,1,21:10,3;7;11;23;19;31;47;79;83;43;59;67;571;71;103;251;331;523;587;751;107;127;139;151;211;223;239;263;311;347;359;379,286,407,286,391,105,16,26376706399206781063778642273751414830820204283713714180655558268502948033507573250446107978963982077794009601097258788324714673129,434,131
