record_type,low_or_n,high,exposure_levels,component_ids
sparse_integer,239153166164,239153166164,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239153166524,239153166524,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239153166884,239153166884,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239153167244,239153167244,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239154025754,239154025754,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239180803274,239180803274,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239181393773,239181393773,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239181394133,239181394133,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239181394493,239181394493,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239181394853,239181394853,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
