k,target_T,control_h_-720_T,control_h_-360_T,control_h_360_T,control_h_720_T,control_median,control_minimum,control_maximum,target_minus_control_median,target_rank_among_five,target_unique_minimum,target_tied_minimum,target_below_all_four_controls,target_below_at_least_three_controls
-93,36,50,52,49,56,51,49,56,-15,1,1,0,1,1
-92,69,58,77,70,62,66,58,77,3,3,0,0,0,0
-91,44,54,62,56,50,55,50,62,-11,1,1,0,1,1
-90,31,32,46,34,39,36.5,32,46,-5.5,1,1,0,1,1
-89,54,44,53,47,49,48,44,53,6,5,0,0,0,0
-88,25,31,41,40,29,35.5,29,41,-10.5,1,1,0,1,1
-87,47,46,51,56,44,48.5,44,56,-1.5,3,0,0,0,0
-86,60,60,67,71,70,68.5,60,71,-8.5,1,0,1,0,1
-85,48,33,63,51,63,57,33,63,-9,2,0,0,0,1
-84,75,68,71,77,62,69.5,62,77,5.5,4,0,0,0,0
-83,46,53,49,62,41,51,41,62,-5,2,0,0,0,1
-82,38,24,42,41,39,40,24,42,-2,2,0,0,0,1
-81,47,46,58,56,42,51,42,58,-4,3,0,0,0,0
-80,27,43,34,34,41,37.5,34,43,-10.5,1,1,0,1,1
-79,48,53,55,53,52,53,52,55,-5,1,1,0,1,1
-78,51,67,75,57,59,63,57,75,-12,1,1,0,1,1
-77,54,45,58,52,41,48.5,41,58,5.5,4,0,0,0,0
-76,70,58,81,60,64,62,58,81,8,4,0,0,0,0
-75,43,54,40,56,41,47.5,40,56,-4.5,3,0,0,0,0
-74,35,27,30,35,38,32.5,27,38,2.5,3,0,0,0,0
-73,46,41,64,53,53,53,41,64,-7,2,0,0,0,1
-72,30,34,35,44,31,34.5,31,44,-4.5,1,1,0,1,1
-71,50,54,45,53,43,49,43,54,1,3,0,0,0,0
-70,56,61,63,71,67,65,61,71,-9,1,1,0,1,1
-69,58,42,52,48,51,49.5,42,52,8.5,5,0,0,0,0
-68,62,60,82,76,63,69.5,60,82,-7.5,2,0,0,0,1
-67,49,55,56,45,46,50.5,45,56,-1.5,3,0,0,0,0
-66,33,33,28,39,39,36,28,39,-3,2,0,0,0,0
-65,55,37,63,50,53,51.5,37,63,3.5,4,0,0,0,0
-64,32,37,45,27,34,35.5,27,45,-3.5,2,0,0,0,1
-63,46,53,44,65,42,48.5,42,65,-2.5,3,0,0,0,0
-62,67,69,76,69,56,69,56,76,-2,2,0,0,0,1
-61,44,39,53,40,51,45.5,39,53,-1.5,3,0,0,0,0
-60,62,68,72,77,64,70,64,77,-8,1,1,0,1,1
-59,45,51,56,59,37,53.5,37,59,-8.5,2,0,0,0,1
-58,27,32,51,32,37,34.5,32,51,-7.5,1,1,0,1,1
-57,48,46,54,56,61,55,46,61,-7,2,0,0,0,1
-56,37,26,34,35,23,30,23,35,7,5,0,0,0,0
