n,T
240000001247,39
240000001248,65
240000001249,39
240000001250,37
240000001251,81
240000001252,36
240000001253,61
240000001254,77
240000001255,38
240000001256,44
240000001257,85
240000001258,64
240000001259,66
240000001260,69
240000001261,57
240000001262,68
240000001263,87
240000001264,61
240000001265,72
240000001266,66
240000001267,61
240000001268,73
240000001269,74
240000001270,36
240000001271,67
240000001272,75
240000001273,50
240000001274,32
240000001275,55
240000001276,47
240000001277,46
240000001278,83
240000001279,52
240000001280,39
240000001281,71
240000001282,75
240000001283,66
240000001284,97
240000001285,44
240000001286,86
240000001287,85
240000001288,65
240000001289,57
240000001290,93
240000001291,55
240000001292,76
240000001293,82
240000001294,41
240000001295,48
240000001296,85
240000001297,58
240000001298,41
240000001299,80
240000001300,40
240000001301,45
240000001302,84
240000001303,47
240000001304,34
240000001305,79
240000001306,63
240000001307,54
240000001308,84
240000001309,48
240000001310,71
240000001311,82
240000001312,71
240000001313,60
240000001314,79
240000001315,66
240000001316,75
240000001317,83
240000001318,35
240000001319,49
240000001320,78
240000001321,60
240000001322,37
240000001323,74
240000001324,38
240000001325,40
240000001326,72
240000001327,47
240000001328,40
240000001329,81
240000001330,65
240000001331,42
240000001332,93
240000001333,43
240000001334,73
240000001335,65
240000001336,68
240000001337,47
240000001338,87
240000001339,43
240000001340,79
240000001341,72
240000001342,37
240000001343,55
240000001344,71
240000001345,46
240000001346,36
240000001347,78
240000001348,33
240000001349,52
240000001350,89
240000001351,64
240000001352,39
240000001353,73
240000001354,61
240000001355,39
240000001356,77
240000001357,46
240000001358,67
240000001359,73
240000001360,68
240000001361,56
240000001362,86
240000001363,47
240000001364,73
240000001365,79
240000001366,47
240000001367,52
240000001368,71
240000001369,39
240000001370,41
240000001371,81
240000001372,40
240000001373,46
240000001374,82
240000001375,56
240000001376,46
240000001377,86
240000001378,60
240000001379,47
240000001380,93
240000001381,50
240000001382,72
240000001383,75
240000001384,63
240000001385,53
240000001386,79
240000001387,46
240000001388,73
240000001389,74
240000001390,43
240000001391,54
240000001392,76
240000001393,49
240000001394,27
240000001395,83
240000001396,38
240000001397,48
240000001398,88
240000001399,51
240000001400,41
240000001401,72
240000001402,66
240000001403,50
240000001404,79
240000001405,45
240000001406,84
240000001407,85
240000001408,69
240000001409,46
240000001410,82
240000001411,52
240000001412,62
240000001413,73
240000001414,31
240000001415,43
240000001416,71
240000001417,47
240000001418,40
240000001419,71
240000001420,30
240000001421,55
240000001422,82
240000001423,55
240000001424,42
240000001425,79
240000001426,66
240000001427,56
240000001428,77
240000001429,63
240000001430,71
240000001431,88
240000001432,71
240000001433,67
240000001434,82
240000001435,46
240000001436,54
240000001437,72
240000001438,43
240000001439,54
240000001440,64
240000001441,52
240000001442,48
240000001443,66
240000001444,48
240000001445,50
240000001446,85
240000001447,55
240000001448,39
240000001449,87
240000001450,73
240000001451,60
240000001452,83
240000001453,52
240000001454,67
240000001455,85
240000001456,58
240000001457,62
240000001458,95
240000001459,43
240000001460,57
240000001461,79
240000001462,39
240000001463,48
240000001464,72
240000001465,47
240000001466,47
240000001467,78
240000001468,40
240000001469,49
240000001470,74
240000001471,46
240000001472,44
240000001473,80
240000001474,59
240000001475,45
240000001476,94
240000001477,50
240000001478,65
240000001479,78
240000001480,66
240000001481,49
240000001482,61
240000001483,55
240000001484,71
240000001485,70
240000001486,45
240000001487,48
240000001488,68
240000001489,44
240000001490,38
240000001491,68
240000001492,39
240000001493,47
240000001494,87
240000001495,50
240000001496,44
240000001497,70
240000001498,70
240000001499,47
240000001500,90
240000001501,39
240000001502,72
240000001503,85
240000001504,65
240000001505,59
240000001506,83
240000001507,37
240000001508,60
240000001509,73
240000001510,34
240000001511,40
240000001512,70
240000001513,52
240000001514,49
240000001515,74
240000001516,48
240000001517,44
240000001518,82
240000001519,56
240000001520,36
240000001521,75
240000001522,66
240000001523,69
240000001524,77
240000001525,42
240000001526,60
240000001527,81
240000001528,55
240000001529,59
240000001530,82
240000001531,52
240000001532,66
240000001533,86
240000001534,36
240000001535,54
240000001536,79
240000001537,43
240000001538,46
240000001539,80
240000001540,34
240000001541,53
240000001542,71
240000001543,57
240000001544,21
240000001545,86
240000001546,55
240000001547,50
240000001548,76
240000001549,68
240000001550,71
240000001551,94
240000001552,68
240000001553,65
240000001554,78
240000001555,54
240000001556,66
240000001557,89
240000001558,32
240000001559,48
240000001560,76
240000001561,50
240000001562,30
240000001563,66
240000001564,44
240000001565,58
240000001566,81
240000001567,56
240000001568,38
240000001569,85
240000001570,65
240000001571,58
240000001572,87
240000001573,42
240000001574,69
240000001575,59
240000001576,64
240000001577,49
240000001578,86
240000001579,47
240000001580,73
240000001581,90
240000001582,33
240000001583,35
240000001584,74
240000001585,42
240000001586,44
240000001587,77
240000001588,29
240000001589,46
240000001590,79
240000001591,38
240000001592,41
240000001593,85
240000001594,69
240000001595,54
240000001596,88
240000001597,38
240000001598,63
240000001599,53
240000001600,70
240000001601,38
240000001602,83
240000001603,53
240000001604,76
240000001605,76
240000001606,46
240000001607,46
240000001608,85
240000001609,43
240000001610,38
240000001611,75
240000001612,40
240000001613,43
240000001614,84
240000001615,50
240000001616,40
240000001617,72
240000001618,74
240000001619,58
240000001620,85
240000001621,39
240000001622,68
240000001623,87
240000001624,80
240000001625,49
240000001626,91
240000001627,63
240000001628,67
240000001629,82
240000001630,44
240000001631,52
240000001632,71
240000001633,48
240000001634,32
240000001635,79
240000001636,32
240000001637,50
240000001638,93
240000001639,57
240000001640,30
240000001641,76
240000001642,58
240000001643,38
240000001644,84
240000001645,46
240000001646,54
240000001647,72
240000001648,66
240000001649,51
240000001650,82
240000001651,65
240000001652,57
240000001653,89
240000001654,32
240000001655,59
240000001656,75
240000001657,54
240000001658,29
240000001659,84
240000001660,36
240000001661,53
240000001662,92
240000001663,48
240000001664,47
240000001665,67
240000001666,57
240000001667,55
240000001668,80
240000001669,42
240000001670,90
240000001671,72
240000001672,69
240000001673,54
240000001674,79
240000001675,47
240000001676,63
240000001677,74
240000001678,35
240000001679,52
240000001680,82
240000001681,61
240000001682,36
240000001683,65
240000001684,52
240000001685,57
240000001686,86
240000001687,36
240000001688,41
240000001689,77
240000001690,64
240000001691,59
240000001692,79
240000001693,38
240000001694,71
240000001695,84
240000001696,71
240000001697,51
240000001698,78
240000001699,57
240000001700,61
240000001701,85
240000001702,42
240000001703,55
240000001704,84
240000001705,37
240000001706,31
240000001707,79
240000001708,42
240000001709,50
240000001710,85
240000001711,38
240000001712,31
240000001713,83
240000001714,71
240000001715,51
240000001716,89
240000001717,60
240000001718,71
240000001719,76
240000001720,55
240000001721,52
240000001722,78
240000001723,53
240000001724,61
240000001725,75
240000001726,50
240000001727,53
240000001728,82
240000001729,46
240000001730,31
240000001731,81
240000001732,35
240000001733,57
240000001734,96
240000001735,48
240000001736,46
240000001737,75
240000001738,56
240000001739,56
240000001740,81
240000001741,57
240000001742,73
240000001743,70
240000001744,70
240000001745,55
240000001746,67
240000001747,59
240000001748,61
240000001749,69
240000001750,42
240000001751,47
240000001752,76
240000001753,40
240000001754,41
240000001755,63
240000001756,41
240000001757,60
240000001758,92
240000001759,47
240000001760,30
240000001761,80
240000001762,56
240000001763,62
240000001764,80
240000001765,63
240000001766,69
240000001767,79
240000001768,63
240000001769,55
240000001770,72
240000001771,53
240000001772,76
240000001773,79
240000001774,42
240000001775,45
240000001776,87
240000001777,45
240000001778,35
240000001779,80
240000001780,49
240000001781,58
240000001782,92
240000001783,61
240000001784,46
240000001785,91
240000001786,65
240000001787,61
240000001788,84
240000001789,50
240000001790,82
240000001791,93
240000001792,68
240000001793,54
240000001794,98
240000001795,53
240000001796,73
240000001797,77
240000001798,39
240000001799,50
240000001800,74
240000001801,56
240000001802,47
240000001803,84
240000001804,33
240000001805,49
240000001806,81
240000001807,59
240000001808,30
240000001809,80
240000001810,61
240000001811,51
240000001812,84
240000001813,57
240000001814,73
240000001815,82
240000001816,63
240000001817,52
240000001818,71
240000001819,57
240000001820,63
240000001821,75
240000001822,35
240000001823,51
240000001824,83
240000001825,53
240000001826,35
240000001827,73
240000001828,39
240000001829,43
240000001830,74
240000001831,50
240000001832,39
240000001833,82
240000001834,68
240000001835,50
240000001836,93
240000001837,40
240000001838,70
240000001839,71
240000001840,62
240000001841,44
240000001842,75
240000001843,41
240000001844,74
240000001845,67
240000001846,39
240000001847,54
240000001848,83
240000001849,38
240000001850,32
240000001851,72
240000001852,44
240000001853,53
240000001854,76
240000001855,52
240000001856,39
240000001857,93
240000001858,66
240000001859,48
240000001860,84
240000001861,46
240000001862,75
240000001863,82
240000001864,61
240000001865,56
240000001866,80
240000001867,51
240000001868,73
240000001869,80
240000001870,36
240000001871,60
240000001872,80
240000001873,53
240000001874,35
240000001875,76
240000001876,34
240000001877,63
240000001878,69
240000001879,55
240000001880,37
240000001881,73
240000001882,55
240000001883,54
240000001884,79
240000001885,44
240000001886,75
240000001887,78
240000001888,59
240000001889,48
240000001890,82
240000001891,52
240000001892,70
240000001893,85
240000001894,36
240000001895,52
240000001896,78
240000001897,62
240000001898,30
240000001899,78
240000001900,40
240000001901,62
240000001902,82
240000001903,50
240000001904,36
240000001905,79
240000001906,75
240000001907,63
240000001908,85
240000001909,52
240000001910,76
240000001911,85
240000001912,75
240000001913,40
240000001914,82
240000001915,52
240000001916,68
240000001917,88
240000001918,31
240000001919,50
240000001920,65
240000001921,51
240000001922,28
240000001923,84
240000001924,43
240000001925,62
240000001926,76
240000001927,42
240000001928,41
240000001929,74
240000001930,68
240000001931,63
240000001932,86
240000001933,59
240000001934,69
240000001935,91
240000001936,70
240000001937,53
240000001938,82
240000001939,52
240000001940,53
240000001941,71
240000001942,30
240000001943,54
240000001944,74
240000001945,47
240000001946,38
240000001947,66
240000001948,42
240000001949,47
240000001950,84
240000001951,40
240000001952,40
240000001953,76
240000001954,74
240000001955,49
240000001956,91
240000001957,50
240000001958,77
240000001959,77
240000001960,61
240000001961,54
240000001962,81
240000001963,49
240000001964,67
240000001965,85
240000001966,41
240000001967,45
240000001968,82
240000001969,50
240000001970,33
240000001971,77
240000001972,42
240000001973,39
240000001974,83
240000001975,56
240000001976,37
240000001977,77
240000001978,65
240000001979,55
240000001980,78
240000001981,49
240000001982,67
240000001983,74
240000001984,61
240000001985,52
240000001986,86
240000001987,53
240000001988,68
240000001989,93
240000001990,37
240000001991,53
240000001992,90
240000001993,57
240000001994,43
240000001995,71
240000001996,42
240000001997,40
240000001998,98
