t3,t7,t11,t23,mask_digest,crt_residue,modulus,member_count,previously_designed_class,previously_evaluated_integer_count,fresh_integer_count,minimum_fresh_integer,maximum_fresh_integer,member_digest,fresh_member_digest
2,5,98,402,8bcc768794a55698b3b28fca7af7a75a21e1a0a3b9f33e69cff4a5bdc6377b3b,507209834,1129118760,56,False,1,55,184553567714,246655099514,8539d85ba9092cfdb0c828f720a85133ff6510915bc4d4f57c8b5125adecdc29,ee816c4661ea04e85cccf018aa6bf3eac53a2827045a8a69632fadab2e936ed2
2,5,98,425,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,310841354,1129118760,56,False,1,55,184357199234,246458731034,394b7939e1137eb417cf129ee8da07aa59882cfc6182729b0ea8da4015f17bd8,50b89c81615fc881882a90486f6743dd8dc2d738dcef9038cc028f48a492e6bd
2,5,98,471,57916e7788608951615f916939969a084dfde84939279ba596a50e2fee28295a,1047223154,1129118760,55,False,2,53,185093581034,246065994074,221a3fed693715a729cc626b2bf06a099089b649a49e3f0455c21993ffd46185,b0e805e5eb3d6c6a8932bb0f2b01394f3804f81691b4491e604507b4082a6b52
2,5,98,494,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,850854674,1129118760,55,False,2,53,184897212554,245869625594,0f84d8c8431abdec61dafd51d62215d570d44e943a451436f8646469421508e2,e09ff7a2d95b787eed124b63ef8e266cae31f71e7e8fed560c63a4800343ac95
2,5,98,517,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,654486194,1129118760,55,False,2,53,184700844074,245673257114,6a63bf8c31a7661f41ccec4086b7a8a4b492c96c099989d90a63cea6d70c9d9d,47878b85542459b51c4e212e3f709d88f0924f3630030590a80a5399eaedfed6
2,5,120,11,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,971353514,1129118760,55,False,2,53,185017711394,245990124434,9b1c97e0228f65e5f9521d666a74157ecd44d4c1766cc4401b68b67a3b341f18,5634d00ac30dc27738062297a7cd9b5ce4f28d7eec647d67607020a3a1b3a297
2,5,120,57,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,578616554,1129118760,56,False,1,55,184624974434,246726506234,5da66b3cc25ed15b91eaa4e096aa7dae15a7f79d5fc8fe8b7d50a61fd136ef5b,ad1af106d38ebb8a551eb13a11821dcf094b8aeb44841fe0c7061adf7c818b97
2,5,120,103,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,185879594,1129118760,56,False,1,55,184232237474,246333769274,fbb6263bf06d38d4657a768f5bbfe77e8f1a6e7aeb873bda5c4f3cb038001ade,31510bfcbb4a4a17a368a63a51b6451fc6a8a1fd4c20c61497097ca09bda2716
2,5,120,172,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,725892914,1129118760,55,False,2,53,184772250794,245744663834,ee2cc24f690b9127d4441e33334df9a9293734664790fb3f90c381c402b5c6e3,bef8d5c918d95683bfc94c1b2a5df4946b3436705806879e8cc5299730ce4779
2,5,120,195,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,529524434,1129118760,56,False,1,55,184575882314,246677414114,1ed1894e654288dc1d14ec1248cedd1f2faaeb3fd263be35d44c0c874a675893,dbdf2f2250832486c9e6ff85d82417d2b4f82a1d94bfc9e63e50f1c2472c87df
2,5,120,241,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,136787474,1129118760,56,False,1,55,184183145354,246284677154,9c4202945e259fb48e6a37a8aa6ddac9d57464c4755d2124bd79d897950a64e8,30f2d58d21904fde69307722b4bd593bb000b2ec38295ae540de8dce97f47749
2,5,120,264,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,1069537754,1129118760,56,False,2,54,183986776874,246088308674,f876fdc488a5202f5e9907b69688308dacf3eed123e3054c1d13db42acb03de3,a218c899978659683bb07a4da757c052a511f8105df439ddf3198848e232627a
2,5,120,287,fd92642879c505632baac57cb99ad131ba7b17e75386a1c826e410baa428aeee,873169274,1129118760,55,False,2,53,184919527154,245891940194,2bab93a500846c2fe938136aaa908bad57faba87d615960c5edd89dd1d3baacf,15b16f0ba07d20908be17067db765f6078a36fbc9dba7408b870adcade0c9d26
2,5,120,310,65a6bbd42eb3518f4612341df4c100fa95786bebb8d3847106fe56e810186b8a,676800794,1129118760,55,False,2,53,184723158674,245695571714,1e6487c4475224ded032b37022bcf3c36eefae5d588f482694b512b8091be5b3,d838961ece6be81014623f53786278d31d4e084e7c5f9484362ddae740edd1d7
2,5,120,356,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,284063834,1129118760,56,False,1,55,184330421714,246431953514,9fcfbecb95c0245b717879cd91bb1328f93b979b503af628ea89241a81e0edd1,3644143dfdd69972017862c4766a547cc16d98a02a057415af293680090fa77d
2,5,120,379,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,87695354,1129118760,56,False,1,55,184134053234,246235585034,97a1217f2b91f892e690bf966f963fa3ca6402bac15e52e02bf61d8f3a572765,dae41f9543a8b1e3fd7771a8a6115ec0d232a54ffbd0aa9d782d7acac939e483
2,5,120,402,8bcc768794a55698b3b28fca7af7a75a21e1a0a3b9f33e69cff4a5bdc6377b3b,1020445634,1129118760,55,False,2,53,185066803514,246039216554,f102fbfa8f84a3ed4531c536c4e89db833acf0dd9cb2dfc94e804542f75792b4,e75473a44a68269e6cbbccf1c3eeb01b91d2a0483ffb5d202e4f90d65df721b3
2,5,120,425,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,824077154,1129118760,55,False,2,53,184870435034,245842848074,d125426b8e189e7ec33df1b314b740a26be8fdbae0e76e29d653d56df59af5a2,9b7976d67fb8988a1a3b00885851a82410dc4b25d4cb55dabea52afec7f24b25
2,5,120,471,57916e7788608951615f916939969a084dfde84939279ba596a50e2fee28295a,431340194,1129118760,56,False,1,55,184477698074,246579229874,7ff524ca5d0c348dd5b7795e3f14c083ac12d354e07b2b3bf7986bfe1460e811,731b9954dd955f5daa53b347ce94423a36f629485d940dcc8114066f757effa9
2,5,120,494,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,234971714,1129118760,56,False,1,55,184281329594,246382861394,e4134622b8f59a797a515a4e4a3d8e851891df5c6fc9e71d84bf26ef2779fd5a,16bdc0c0ce5cead862f73a20a2a3236315ef99abb4a47d4b22f46dd0a7fd2dd0
2,5,120,517,14965b2bf51a6e2f9275df6bd262bad4895649dc7ded63238d485425f5734686,38603234,1129118760,56,False,1,55,184084961114,246186492914,1ee3e81965b03a9fb84e0aabd1141882e5a5c0a80b9e4c52be879061d821491a,2542498c2f088cc81a629febcf9b8663fefb7b78b4eabe56f4e6641caaa7f4b9
2,6,39,5,71d48b777a9baf3b199305164081cbc343ce1b9a9385f213f173e55b9e0d7985,508930274,1129118760,56,False,1,55,184555288154,246656819954,3d9489b7ffe128533925701af43cacda78dfe2944e6a3d07256566fc7795751d,4c95c0ecb96f3a9b13d1ab711f31648f7f86e268832ab0b1f913bf1849a3ec49
